Datetime,Datetime,RemainingSimulationTimeMetric,WillFinishTooSoonContext,ETPercentile,SimulationLeftNumber,MinimumCoresContext,SimulationElapsedTime,NotFinishedOnTime,MinimumCores,TotalCores,NotFinishedOnTimeContext,NotFinished,EstimatedRemainingTimeContext
1612934982,1612934982,7187,,41,900,,13,,,5,,,
1612935012,1612935012,7157,,41,900,,43,,,7,,,
1612935024,1612935024,,,,,,,,,,,,2306.25
1612935042,1612935042,7127,,41,899,,73,,,7,,,
1612935045,1612935045,,,,,11,,,11,,,,
1612935054,1612935054,,,,,,,,,,,,2303.6875
1612935064,1612935064,,-515.35,,,,,,,,-1220.75,,
1612935072,1612935072,7097,,41,895,,103,,,7,,,
1612935075,1612935075,,,,,11,,,11,,,,
1612935084,1612935084,,,,,,,,,,,,2293.4375
1612935094,1612935094,,-493.9124999999999,,,,,,,,-1193.3125,,
1612935102,1612935102,7067,,41,893,,133,,,7,,,
1612935105,1612935105,,,,,11,,,11,,,,
1612935114,1612935114,,,,,,,,,,,,2288.3125
1612935124,1612935124,,-480.1624999999999,,,,,,,,-1173.5625,,
1612935132,1612935132,7038,,43,892,,162,,,7,,,
1612935135,1612935135,,,,,12,,,12,,,,
1612935144,1612935144,,,,,,,,,,,,2397.25
1612935154,1612935154,,-462.0875000000001,,,,,,,,-1149.6875,,
1612935162,1612935162,7008,,68,890,,192,,,7,,,
1612935165,1612935165,,,,,18,,,18,,,,
1612935174,1612935174,,,,,,,,,,,,3782.5
1612935184,1612935184,,-329.1500000000001,,,,,,,,-1010.75,,
1612935192,1612935192,6978,,83,886,,222,,,7,,,
1612935195,1612935195,,,,,22,,,22,,,,
1612935204,1612935204,,,,,,,,,,,,4596.125
1612935214,1612935214,,1080.1,,,,,404.5,,,404.5,404.5,
1612935222,1612935222,6947,,86,885,,253,,,7,,,
1612935225,1612935225,,,,,23,,,23,,,,
1612935234,1612935234,,,,,,,,,,,,4756.875
1612935244,1612935244,,1918.525,,,,,1249.125,,,1249.125,1249.125,
1612935252,1612935252,6918,,88,883,,282,,,7,,,
1612935255,1612935255,,,,,24,,,24,,,,
1612935264,1612935264,,,,,,,,,,,,4856.5
1612935274,1612935274,,2102.475,,,,,1438.875,,,1438.875,1438.875,
1612935282,1612935282,6887,,87,879,,313,,,7,,,
1612935285,1612935285,,,,,24,,,24,,,,
1612935294,1612935294,,,,,,,,,,,,4779.5625
1612935304,1612935304,,2226.9,,,,,1569.5,,,1569.5,1569.5,
1612935312,1612935312,6858,,87,878,,342,,,7,,,
1612935315,1612935315,,,,,24,,,24,,,,
1612935324,1612935324,,,,,,,,,,,,4774.125
1612935334,1612935334,,2173.1625,,,,,1521.5625,,,1521.5625,1521.5625,
1612935342,1612935342,6827,,88,875,,373,,,7,,,
1612935345,1612935345,,,,,24,,,24,,,,
1612935354,1612935354,,,,,,,,,,,,4812.5
1612935364,1612935364,,2192.525,,,,,1547.125,,,1547.125,1547.125,
1612935372,1612935372,6797,,86,870,,403,,,7,,,
1612935375,1612935375,,,,,24,,,24,,,,
1612935384,1612935384,,,,,,,,,,,,4676.25
1612935394,1612935394,,2254.9,,,,,1615.5,,,1615.5,1615.5,
1612935402,1612935402,6767,,86,868,,433,,,7,,,
1612935405,1612935405,,,,,24,,,24,,,,
1612935414,1612935414,,,,,,,,,,,,4665.5
1612935424,1612935424,,2142.65,,,,,1509.25,,,1509.25,1509.25,
1612935432,1612935432,6737,,86,868,,463,,,7,,,
1612935435,1612935435,,,,,25,,,25,,,,
1612935444,1612935444,,,,,,,,,,,,4665.5
1612935454,1612935454,,2155.9,,,,,1528.5,,,1528.5,1528.5,
1612935462,1612935462,6707,,86,866,,493,,,7,,,
1612935465,1612935465,,,,,25,,,25,,,,
1612935474,1612935474,,,,,,,,,,,,4654.75
1612935484,1612935484,,2179.9,,,,,1558.5,,,1558.5,1558.5,
1612935492,1612935492,6678,,86,861,,522,,,7,,,
1612935495,1612935495,,,,,24,,,24,,,,
1612935504,1612935504,,,,,,,,,,,,4627.875
1612935514,1612935514,,2192.35,,,,,1576.75,,,1576.75,1576.75,
1612935522,1612935522,6648,,86,861,,552,,,7,,,
1612935525,1612935525,,,,,25,,,25,,,,
1612935534,1612935534,,,,,,,,,,,,4627.875
1612935544,1612935544,,2189.475,,,,,1579.875,,,1579.875,1579.875,
1612935552,1612935552,6617,,86,860,,583,,,7,,,
1612935555,1612935555,,,,,25,,,25,,,,
1612935564,1612935564,,,,,,,,,,,,4622.5
1612935574,1612935574,,2214.275,,,,,1610.875,,,1610.875,1610.875,
1612935582,1612935582,6588,,87,855,,612,,,7,,,
1612935585,1612935585,,,,,26,,,26,,,,
1612935594,1612935594,,,,,,,,,,,,4649.0625
1612935604,1612935604,,2232.1,,,,,1634.5,,,1634.5,1634.5,
1612935612,1612935612,6557,,87,854,,643,,,7,,,
1612935615,1612935615,,,,,26,,,26,,,,
1612935624,1612935624,,,,,,,,,,,,4643.625
1612935634,1612935634,,2283.4625,,,,,1692.0625,,,1692.0625,1692.0625,
1612935642,1612935642,6528,,87,854,,672,,,7,,,
1612935645,1612935645,,,,,26,,,26,,,,
1612935654,1612935654,,,,,,,,,,,,4643.625
1612935664,1612935664,,2301.225,,,,,1715.625,,,1715.625,1715.625,
1612935672,1612935672,6498,,88,849,,702,,,7,,,
1612935675,1612935675,,,,,26,,,26,,,,
1612935684,1612935684,,,,,,,,,,,,4669.5
1612935694,1612935694,,2325.225,,,,,1745.625,,,1745.625,1745.625,
1612935702,1612935702,6468,,89,847,,732,,,7,,,
1612935705,1612935705,,,,,27,,,27,,,,
1612935714,1612935714,,,,,,,,,,,,4711.4375
1612935724,1612935724,,2375.1,,,,,1801.5,,,1801.5,1801.5,
1612935732,1612935732,6437,,89,847,,763,,,7,,,
1612935735,1612935735,,,,,27,,,27,,,,
1612935744,1612935744,,,,,,,,,,,,4711.4375
1612935754,1612935754,,2441.8375,,,,,1874.4375,,,1874.4375,1874.4375,
1612935762,1612935762,6408,,89,840,,792,,,7,,,
1612935765,1612935765,,,,,28,,,28,,,,
1612935774,1612935774,,,,,,,,,,,,4672.5
1612935784,1612935784,,2465.0375,,,,,1903.4375,,,1903.4375,1903.4375,
1612935792,1612935792,6378,,89,838,,822,,,7,,,
1612935795,1612935795,,,,,28,,,28,,,,
1612935804,1612935804,,,,,,,,,,,,4661.375
1612935814,1612935814,,2450.1,,,,,1894.5,,,1894.5,1894.5,
1612935822,1612935822,6348,,88,837,,852,,,7,,,
1612935825,1612935825,,,,,27,,,27,,,,
1612935834,1612935834,,,,,,,,,,,,4603.5
1612935844,1612935844,,2462.975,,,,,1913.375,,,1913.375,1913.375,
1612935852,1612935852,6318,,88,834,,882,,,7,,,
1612935855,1612935855,,,,,27,,,27,,,,
1612935864,1612935864,,,,,,,,,,,,4587
1612935874,1612935874,,2429.1,,,,,1885.5,,,1885.5,1885.5,
1612935882,1612935882,6288,,88,833,,912,,,7,,,
1612935885,1612935885,,,,,28,,,28,,,,
1612935894,1612935894,,,,,,,,,,,,4581.5
1612935904,1612935904,,2436.6,,,,,1899,,,1899,1899,
1612935912,1612935912,6257,,88,830,,943,,,7,,,
1612935915,1612935915,,,,,28,,,28,,,,
1612935924,1612935924,,,,,,,,,,,,4565
1612935934,1612935934,,2455.9,,,,,1924.5,,,1924.5,1924.5,
1612935942,1612935942,6227,,88,829,,973,,,7,,,
1612935945,1612935945,,,,,28,,,28,,,,
1612935954,1612935954,,,,,,,,,,,,4559.5
1612935964,1612935964,,2463.4,,,,,1938,,,1938,1938,
1612935972,1612935972,6198,,88,826,,1002,,,7,,,
1612935975,1612935975,,,,,29,,,29,,,,
1612935984,1612935984,,,,,,,,,,,,4543
1612935994,1612935994,,2481.1,,,,,1961.5,,,1961.5,1961.5,
1612936002,1612936002,6168,,89,823,,1032,,,7,,,
1612936005,1612936005,,,,,29,,,29,,,,
1612936014,1612936014,,,,,,,,,,,,4577.9375
1612936024,1612936024,,2488.6,,,,,1975,,,1975,1975,
1612936032,1612936032,6138,,89,822,,1062,,,7,,,
1612936035,1612936035,,,,,30,,,30,,,,
1612936044,1612936044,,,,,,,,,,,,4572.375
1612936054,1612936054,,2547.5375,,,,,2039.9375,,,2039.9375,2039.9375,
1612936062,1612936062,6108,,89,819,,1092,,,7,,,
1612936065,1612936065,,,,,30,,,30,,,,
1612936074,1612936074,,,,,,,,,,,,4555.6875
1612936084,1612936084,,2565.975,,,,,2064.375,,,2064.375,2064.375,
1612936092,1612936092,6078,,88,813,,1122,,,7,,,
1612936095,1612936095,,,,,30,,,30,,,,
1612936104,1612936104,,,,,,,,,,,,4471.5
1612936114,1612936114,,2573.2875,,,,,2077.6875,,,2077.6875,2077.6875,
1612936122,1612936122,6048,,88,812,,1152,,,7,,,
1612936125,1612936125,,,,,29,,,29,,,,
1612936134,1612936134,,,,,,,,,,,,4466
1612936144,1612936144,,2513.1,,,,,2023.5,,,2023.5,2023.5,
1612936152,1612936152,6018,,87,808,,1182,,,7,,,
1612936155,1612936155,,,,,29,,,29,,,,
1612936164,1612936164,,,,,,,,,,,,4393.5
1612936174,1612936174,,2531.6,,,,,2048,,,2048,2048,
1612936182,1612936182,5988,,87,806,,1212,,,7,,,
1612936185,1612936185,,,,,30,,,30,,,,
